"arten","funk","d","f","i","e","dim","model"
"42282","","Sonstige Forderungen, n.a.g., Ausland","Autres comptes à recevoir, n.c.a., extérieur","Altri conti attivi, n.m.a., estero","Miscellaneous other accounts receivable","sws_preis","fs"
"","","Verbindlichkeiten","Engagements","Passività","Liabilities","sws_preis","fs"
"430","","Verbindlichkeiten","Engagements ","Passività","Domestic & external","sws_preis","fs"
"4301","","Währungsgold und Sonderziehungsrechte","Or monétaire et DTS","Oro monetario e diritti speciali di prelievo","Monetary gold and Special Drawing Rights (SDRs)","sws_preis","fs"
"4302","","Bargeld und Einlagen ","Numéraire et dépôts ","Biglietti, monete e depositi","Currency and deposits","sws_preis","fs"
"4303","","Schuldtitel","Titres de créance","Titoli di debito","Debt securities","sws_preis","fs"
"4304","","Kredite","Crédits ","Prestiti","Loans","sws_preis","fs"
"4305","","Anteilsrechte und Anteile an Investmentfonds","Actions et parts de fonds d'investissement","Partecipazioni e quote di fondi di investimento","Equity and investment fund shares","sws_preis","fs"
"4306","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard","Assicurazioni, pensioni, garanzie standard","Insurance, pension, and standardized guarantee schemes","sws_preis","fs"
"4307","","Finanzderivate und Mitarbeiteraktienoptionen","Produits financiers dérivés et options sur titres des salariés","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_preis","fs"
"4308","","Sonstige Verbindlichkeiten","Autres comptes à payer ","Altri conti passivi","Other accounts payable","sws_preis","fs"
"43081","","Handelskredite und Anzahlungen","Crédits commerciaux et avances","Crediti commerciali e anticipazioni","Trade credit and advances","sws_preis","fs"
"43082","","Sonstige Verbindlichkeiten, n.a.g.","Autres comptes à payer, n.c.a.","Altri conti passivi, n.m.a.","Miscellaneous other accounts payable","sws_preis","fs"
"431","","Verbindlichkeiten, Inland","Engagements, intérieur","Conti passivi, interno","Domestic","sws_preis","fs"
"4311","","Währungsgold und Sonderziehungsrechte, Inland","Or monétaire et DTS, intérieur","Oro monetario e diritti speciali di prelievo, interno","Monetary gold and Special Drawing Rights (SDRs)","sws_preis","fs"
"4312","","Bargeld und Einlagen, Inland","Numéraire et dépôts, intérieur","Biglietti, monete e depositi, interno","Currency and deposits","sws_preis","fs"
"4313","","Schuldtitel, Inland","Titres de créance, intérieur","Titoli di debito, interno","Debt securities","sws_preis","fs"
"4314","","Kredite, Inland","Crédits, intérieur","Prestiti, interno","Loans","sws_preis","fs"
"4315","","Anteilsrechte und Anteile an Investmentfonds, Inland","Actions et parts de fonds d'investissement, intérieur","Partecipazioni e quote di fondi di investimento, interno","Equity and investment fund shares","sws_preis","fs"
"4316","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Inland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, intérieur ","Assicurazioni, pensioni e garanzie standard, interno","Insurance, pension, and standardized guarantee schemes","sws_preis","fs"
"4317","","Finanzderivate und Mitarbeiteraktienoptionen, Inland","Produits financiers dérivés et options sur titres des salariés, intérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_preis","fs"
"4318","","Sonstige Verbindlichkeiten, Inland","Autres comptes à payer, intérieur","Altri conti passivi, interno","Other accounts payable","sws_preis","fs"
"43181","","Handelskredite und Anzahlungen, Inland","Crédits commerciaux et avances, intérieur","Crediti commerciali e anticipazioni, interno","Trade credit and advances","sws_preis","fs"
"43182","","Sonstige Verbindlichkeiten, n.a.g., Inland","Autres comptes à payer, n.c.a., intérieur","Altri conti passivi, n.m.a., interno","Miscellaneous other accounts payable","sws_preis","fs"
"432","","Verbindlichkeiten, Ausland","Engagements, extérieur","Conti passivi, estero","External","sws_preis","fs"
"4321","","Währungsgold und Sonderziehungsrechte, Ausland","Or monétaire et DTS, extérieur","Oro monetario e diritti speciali di prelievo, estero","Monetary gold and Special Drawing Rights (SDRs)","sws_preis","fs"
"4322","","Bargeld und Einlagen, Ausland","Numéraire et dépôts, extérieur","Biglietti, monete e depositi, estero","Currency and deposits","sws_preis","fs"
"4323","","Schuldtitel, Ausland","Titres de créance, extérieur","Titoli di debito, estero","Debt securities","sws_preis","fs"
"4324","","Kredite, Ausland","Crédits, extérieur","Prestiti, estero","Loans","sws_preis","fs"
"4325","","Anteilsrechte und Anteile an Investmentfonds, Ausland","Actions et parts de fonds d'investissement, extérieur","Partecipazioni e quote di fondi di investimento, estero","Equity and investment fund shares","sws_preis","fs"
"4326","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Ausland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, extérieur ","Assicurazioni, pensioni e garanzie standard, estero","Insurance, pension, and standardized guarantee schemes","sws_preis","fs"
"4327","","Finanzderivate und Mitarbeiteraktienoptionen, Ausland","Produits financiers dérivés et options sur titres des salariés, extérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_preis","fs"
"4328","","Sonstige Verbindlichkeiten, Ausland","Autres comptes à payer, extérieur","Altri conti passivi, estero","Other accounts payable","sws_preis","fs"
"43281","","Handelskredite und Anzahlungen, Ausland","Crédits commerciaux et avances, extérieur","Crediti commerciali e anticipazioni, estero","Trade credit and advances","sws_preis","fs"
"43282","","Sonstige Verbindlichkeiten, n.a.g., Ausland","Autres comptes à payer, n.c.a., extérieur","Altri conti passivi, n.m.a., estero","Miscellaneous other accounts payable","sws_preis","fs"
