"arten","funk","d","f","i","e","dim","model"
"","58","F&E in soziale Sicherheit","R-D sécurité sociale","R&S in materia di sicurezza sociale","R&D social welfare","einnahmen_funk","fs"
"","59","Soziale Wohlfahrt n.a.g.","Prévoyance sociale n.c.a.","Previdenza sociale n.m.a.","Social welfare n.e.c.","einnahmen_funk","fs"
"","6","Verkehr und Nachrichtenübermittlung","Trafic et télécommunications","Trasporti e comunicazione","Transportation and telecommunications","einnahmen_funk","fs"
"","61","Strassenverkehr","Circulation routière","Circolazione stradale","Road transportation","einnahmen_funk","fs"
"","62","Öffentlicher Verkehr","Transports publics","Trasporti pubblici","Public transportation","einnahmen_funk","fs"
"","63","Verkehr, übrige","Trafic, autres","Trasporti, altro","Other transportation","einnahmen_funk","fs"
"","64","Nachrichtenübermittlung","Télécommunications","Comunicazione","Telecommunications","einnahmen_funk","fs"
"","68","F&E in Verkehr und Nachrichtenübermittlung","R-D trafic et télécommunications","R&S in materia di trasporti e comunicazione","R&D transportation and telecommunications","einnahmen_funk","fs"
"","7","Umweltschutz und Raumordnung","Protection de l'environnement et aménagement du territoire","Protezione dell'ambiente e assetto del territorio","Protection of the environment and spatial planning","einnahmen_funk","fs"
"","71","Wasserversorgung","Approvisionnement en eau","Approvvigionamento idrico","Water supply","einnahmen_funk","fs"
"","72","Abwasserbeseitigung","Traitement des eaux usées","Eliminazione delle acque di scarico","Sewage disposal","einnahmen_funk","fs"
"","73","Abfallwirtschaft","Gestion des déchets","Gestione dei rifiuti","Waste management","einnahmen_funk","fs"
"","74","Verbauungen","Aménagements","Ripari","Control structures","einnahmen_funk","fs"
"","75","Arten- und Landschaftsschutz","Protection des espèces et du paysage","Protezione delle specie e del paesaggio","Protection of biodiversity and landscape","einnahmen_funk","fs"
"","76","Bekämpfung von Umweltverschmutzung","Lutte contre la pollution de l'environnement","Lotta contro l'inquinamento ambientale","Anti-pollution","einnahmen_funk","fs"
"","77","Übriger Umweltschutz","Protection de l'environnement, autres","Altri tipi di protezione dell'ambiente","Other environmental protection","einnahmen_funk","fs"
"","78","F&E in Umweltschutz","R-D protection de l'environnement","R&S in materia di protezione dell’ambiente ","R&D environmental protection","einnahmen_funk","fs"
"","79","Raumordnung","Aménagement du territoire","Assetto del territorio","Spatial planning","einnahmen_funk","fs"
"","8","Volkswirtschaft","Économie publique","Economia nazionale","National economy","einnahmen_funk","fs"
"","81","Landwirtschaft","Agriculture","Agricoltura","Agriculture","einnahmen_funk","fs"
"","82","Forstwirtschaft","Sylviculture","Silvicoltura","Forestry","einnahmen_funk","fs"
"","83","Jagd und Fischerei","Chasse et pêche","Caccia e pesca","Hunting and fishing","einnahmen_funk","fs"
"","84","Tourismus","Tourisme","Turismo","Tourism","einnahmen_funk","fs"
"","85","Industrie, Gewerbe, Handel","Industrie, artisanat et commerce","Industria, artigianato e commercio","Industry, commerce and trade","einnahmen_funk","fs"
"","86","Banken und Versicherungen","Banques et assurances","Banche e assicurazioni","Banks and insurance companies","einnahmen_funk","fs"
"","87","Brennstoffe und Energie","Combustibles et énergie","Combustibili ed energia","Fuel and energy","einnahmen_funk","fs"
"","88","F&E in Volkswirtschaft","R-D économie publique","R&S in materia di economia nazionale","R&D national economy","einnahmen_funk","fs"
"","89","Sonstige gewerbliche Betriebe","Autres exploitations artisanales","Altre aziende artigianali","Other commercial operations","einnahmen_funk","fs"
"","9","Finanzen und Steuern","Finances et impôts","Finanze e imposte","Finances and taxes","einnahmen_funk","fs"
"","91","Steuern","Impôts","Imposte","Taxes","einnahmen_funk","fs"
"","92","Steuerabkommen","Conventions fiscales","Convenzioni fiscali","Tax agreements","einnahmen_funk","fs"
"","93","Finanz- und Lastenausgleich","Péréquation financière et compensation des charges","Perequazione finanziaria e compensazione degli oneri","Fiscal equalization and cost compensation","einnahmen_funk","fs"
"","94","Ertragsanteile an Bundeseinnahmen ohne Zweckbindung","Parts aux recettes de la Confédération sans affectation","Partecipazioni di ricavi a entrate della Confederazione senza destinazione vincolata","Revenue shares in federal receipts without appropriation","einnahmen_funk","fs"
"","95","Ertragsanteile, übrige, ohne Zweckbindung","Parts de recettes, autres, sans affectation","Partecipazioni di ricavi, altro, senza destinazione vincolata","Other revenue shares without appropriation","einnahmen_funk","fs"
"","96","Vermögens- und Schuldenverwaltung","Administration de la fortune et de la dette","Gestione del patrimonio e del debito","Asset and debt management","einnahmen_funk","fs"
"","97","Rückverteilungen","Redistribution","Ridistribuzioni","Redistribution","einnahmen_funk","fs"
"","99","Nicht aufgeteilte Posten","Postes non ventilables","Voci non attribuite","Undivided items","einnahmen_funk","fs"
