"arten","funk","d","f","i","e","dim","model"
"36018","","Ertraganteil LSVA","Part des revenus de la RPLP","Partecipazioni a ricavi, TTPCP","Share in mileage-related heavy vehicle charge revenue","aufwand","fs"
"36019","","Ertraganteil übriger Bundeseinnahmen","Part des autres recettes de la Confédération","Partecipazioni a ricavi, rimanenti entrate della Confederazione","Share in revenue from other federal receipts","aufwand","fs"
"3602","","Ertragsanteile Gemeinden und Gemeindezweckverbände","Parts de revenus destinées aux communes et syndicats intercommunaux","Partecipazioni di Comuni e consorzi comunali a ricavi","Revenue shares for municipalities and special purpose entities","aufwand","fs"
"36021","","Gemeindeanteile an kantonalen Steuern","Parts des impôts cantonaux revenant aux communes","Partecipazioni di Comuni alle imposte cantonali","Municipalities' share in cantonal taxes","aufwand","fs"
"36022","","Gemeindeanteile an Regalien und Konzessionen","Parts des patentes et concessions revenant aux communes","Partecipazioni di Comuni a regalie e concessioni","Municipalities' share in royalties and concessions","aufwand","fs"
"36023","","Gemeindeanteile an kantonalen Gebühren","Parts des émoluments cantonaux revenant aux communes","Partecipazioni di Comuni a emolumenti cantonali","Municipalities' share in cantonal fees","aufwand","fs"
"36029","","Gemeindeanteile an übrigen kantonalen Erträgen","Parts des autres revenus cantonaux revenant aux communes","Partecipazioni di Comuni ai rimanenti ricavi cantonali","Municipalities' share in other cantonal revenue","aufwand","fs"
"3603","","Ertragsanteile an öffentlichen Sozialversicherungen","Parts de revenus destinées aux assurances sociales publiques","Partecipazioni di assicurazioni sociali pubbliche a ricavi","Revenue shares for social security funds","aufwand","fs"
"3604","","Ertragsanteile an öffentlichen Unternehmen","Parts de revenus destinées aux entreprises publiques","Partecipazioni di imprese pubbliche a ricavi","Revenue shares for public corporations","aufwand","fs"
"361","","Entschädigungen","Indemnités","Indennizzi","Compensation","aufwand","fs"
"3610","","Entschädigungen an Bund","Indemnités à la Confédération","Indennizzi alla Confederazione","Compensation for the Confederation","aufwand","fs"
"3611","","Entschädigungen an Kantone und Konkordate","Indemnités aux cantons et aux concordats","Indennizzi a Cantoni e Concordati","Compensation for cantons and concordats","aufwand","fs"
"3612","","Entschädigungen an Gemeinden und Gemeindezweckverbände","Indemnités aux communes et aux syndicats intercommunaux","Indennizzi a Comuni e consorzi comunali","Compensation for municipalities and special purpose entities","aufwand","fs"
"3613","","Entschädigungen an öffentliche Sozialversicherungen","Indemnités aux assurances sociales publiques","Indennizzi ad assicurazioni sociali pubbliche","Compensation for social security funds","aufwand","fs"
"3614","","Entschädigungen an öffentlichen Unternehmen","Indemnités aux entreprises publiques","Indennizzi a imprese pubbliche","Compensation for public corporations","aufwand","fs"
"362","","Finanz- und Lastenausgleich","Péréquation financière et compensation des charges","Perequazione finanziaria e compensazione degli oneri","Fiscal equalization and cost compensation","aufwand","fs"
"3620","","Finanz- und Lastenausgleich an Bund","Péréquation financière et compensation des charges à la Confédération","Perequazione finanziaria e compensazione degli oneri alla Confederazione","Fiscal equalization and cost compensation for the Confederation","aufwand","fs"
"3621","","Finanz- und Lastenausgleich an Kantone","Péréquation financière et compensation des charges aux cantons","Perequazione finanziaria e compensazione degli oneri a Cantoni e concordati","Fiscal equalization and cost compensation for cantons","aufwand","fs"
"36211","","Ressourcenausgleich","Péréquation des ressources","Perequazione delle risorse","Resource equalization","aufwand","fs"
"36212","","Sozio-demografischer Lastenausgleich","Compensation des charges excessives dues à des facteurs socio-démographiques","Compensazione degli oneri eccessivi dovuti a fattori sociodemografici","Socio-demographic cost compensation","aufwand","fs"
"36213","","Geografisch-topografischer Lastenausgleich","Compensation des charges excessives dues à des facteurs géo-topographiques","Compensazione degli oneri eccessivi dovuti a fattori geotopografici","Geographical/topographic cost compensation","aufwand","fs"
"36214","","Härteausgleich","Compensation des cas de rigueur","Compensazione dei casi di rigore","Cohesion fund","aufwand","fs"
"36215","","Vertikaler Finanzausgleich von Gemeinde an Kanton","Péréquation financière verticale des communes au canton","Perequazione finanziaria verticale da Comuni a Cantone","Vertical fiscal equalization between municipalities and cantons","aufwand","fs"
"36216","","Vertikaler Lastenausgleich von Gemeinde an Kanton","Compensation verticale des charges des communes au canton","Compensazione verticale degli oneri da Comuni a Cantone","Vertical cost compensation between municipalities and cantons","aufwand","fs"
"36217","","Weitergabe Ressourcen- und Härteausgleich der Geberkantone","Transmission de la péréquation des ressources et compensation des cas de rigueur des cantons contributeurs","Trasferimento dai Cantoni donatori della perequazione delle risorse e compensazione dei casi di rigore","Forwarding of resource equalization and cohesion fund from donor cantons","aufwand","fs"
"36219","","Übrige Massnahmen des Finanzausgleichs","Autres mesures liées à la péréquation financière","Rimanenti misure della perequazione finanziaria","Other measures of the fiscal equalization","aufwand","fs"
"3622","","Finanz- und Lastenausgleich an Gemeinden","Péréquation financière et compensation des charges aux communes","Perequazione finanziaria e compensazione degli oneri a Comuni","Fiscal equalization and cost compensation for municipalities","aufwand","fs"
"36221","","Weitergabe eines Anteils am Ressourcenausgleich an Gemeinden","Transmission d'une part de la péréquation des ressources aux communes","Trasferimento ai Comuni di una percentuale della perequazione delle risorse","Forwarding of a share in resource equalization to municipalities","aufwand","fs"
"36222","","Weitergabe eines Anteils am sozio-demografischen Ausgleich an Gemeinden","Transmission d'une part de la compensation des charges excessives dues à des facteurs socio-démographiques aux communes","Trasferimento ai Comuni di una percentuale della perequazione sociodemografica","Forwarding of a share in socio-demographic equalization to municipalities","aufwand","fs"
"36223","","Weitergabe eines Anteils am geografisch-topografischen Ausgleich an Gemeinden","Transmission d'une part de la compensation des charges excessives dues à des facteurs géo-topographiques aux communes","Trasferimento ai Comuni di una percentuale della perequazione geotopografica","Forwarding of a share in geographical/topographic equalization to municipalities","aufwand","fs"
"36224","","Weitergabe eines Anteils am Härteausgleich an Gemeinden","Transmission d'une part de la compensation des cas de rigueur aux communes","Trasferimento ai Comuni di una percentuale della compensazione dei casi di rigore","Forwarding of a share in cohesion fund to municipalities","aufwand","fs"
"36225","","Innerkantonaler vertikaler Finanzausgleich","Péréquation financière intracantonale verticale","Perequazione finanziaria intracantonale verticale","Intra-cantonal vertical fiscal equalization","aufwand","fs"
"36226","","Innerkantonaler vertikaler Lastenausgleich","Compensation des charges intracantonale verticale","Compensazione degli oneri intracantonale verticale","Intra-cantonal vertical cost compensation","aufwand","fs"
"36227","","Horizontaler Finanzausgleich von Gemeinde an Gemeinde","Péréquation financière horizontale : transferts entre communes","Perequazione finanziaria horizontale da Comune a Comune","Horizontal fiscal equalization between municipalities","aufwand","fs"
"36228","","Horizontaler Lastenausgleich von Gemeinde an Gemeinde","Compensation horizontale des charges : transferts entre communes","Compensazione horizontale degli oneri da Comune a Comune","Horizontal cost compensation between municipalities","aufwand","fs"
"3624","","Finanz- und Lastenausgleich an öffentliche Unternehmen","Péréquation financière et compensation des charges aux entreprises publiques","Perequazione finanziaria e compensazione degli oneri a imprese pubbliche","Fiscal equalization and cost compensation for public corporations","aufwand","fs"
"3629","","Finanzausgleich n.a.g.","Péréquation financière n.c.a.","Perequazione finanziaria n.m.a.","Fiscal equalization n.e.c.","aufwand","fs"
"363","","Beiträge an Gemeinwesen und Dritte","Contributions aux collectivités publiques et tiers","Contributi a enti pubblici e a terzi","Contributions to public authorities and third parties","aufwand","fs"
"3630","","Beiträge an den Bund","Contributions à la Confédération","Contributi alla Confederazione","Contributions to the Confederation","aufwand","fs"
"3631","","Beiträge an Kantone und Konkordate","Contributions aux cantons et concordats","Contributi a Cantoni e Concordati","Contributions to cantons and concordats","aufwand","fs"
"3632","","Beiträge an Gemeinden und Gemeindezweckverbände","Contributions aux communes et syndicats intercommunaux","Contributi a Comuni e consorzi comunali","Contributions to municipalities and special purpose entities","aufwand","fs"
"3633","","Beiträge an öffentliche Sozialversicherungen","Contributions aux assurances sociales publiques","Contributi ad assicurazioni sociali pubbliche","Contributions to social security funds","aufwand","fs"
"3634","","Beiträge an öffentliche Unternehmen","Contributions aux entreprises publiques","Contributi a imprese pubbliche","Contributions to public corporations","aufwand","fs"
"3635","","Beiträge an private Unternehmen","Contributions aux entreprises privées","Contributi a imprese private","Contributions to private corporations","aufwand","fs"
"3636","","Beiträge an private Organisationen ohne Erwerbszweck","Contributions aux organisations privées à but non lucratif","Contributi a organizzazioni private senza scopo di lucro","Contributions to private non-profit organizations","aufwand","fs"
"3637","","Beiträge an private Haushalte","Contributions aux ménages privés","Contributi a economie domestiche private","Contributions to households","aufwand","fs"
"3638","","Beiträge an das Ausland","Contributions à l'étranger","Contributi all’estero","Contributions abroad","aufwand","fs"
"3639","","Stipendien","Bourses","Borse di studio","Scholarships","aufwand","fs"
"364","","Wertberichtigungen Darlehen, VV","Réévaluation de prêts, PA","Rettificazioni di valore su mutui, beni amministrativi","Value adjustments on loans, AA","aufwand","fs"
"365","","Wertberichtigungen Beteiligungen, VV","Réévaluation de participations, PA","Rettificazioni di valore su partecipazioni, beni amministrativi","Value adjustments on financial interests, AA","aufwand","fs"
"366","","Abschreibungen auf Investitionsbeiträge","Amortissement de contributions à des investissements","Ammortamenti su contributi agli investimenti","Depreciation of investment contributions","aufwand","fs"
"369","","Übriger Transferaufwand","Autres charges de transfert","Rimanenti spese inconto capitale","Other transfer expenses","aufwand","fs"
"38","","Ausserordentlicher Aufwand","Charges extraordinaires","Spese straordinarie","Extraordinary expenses","aufwand","fs"
"380","","Ausserordentlicher Personalaufwand","Charges de personnel extraordinaires","Spese straordinarie per il personale","Extraordinary personnel expenses","aufwand","fs"
"381","","Ausserordentlicher Sach- und Betriebsaufwand","Charges de biens et services et charges d'exploitation extraordinaires","Spese straordinarie per beni e servizi e d’esercizio","Extraordinary general, administrative and operating expenses","aufwand","fs"
"383","","Zusätzliche Abschreibungen","Amortissements supplémentaires","Ammortamenti supplementari","Additional depreciation","aufwand","fs"
"384","","Ausserordentlicher Finanzaufwand","Charges financières extraordinaires","Spese finanziarie straordinarie","Extraordinary financial expense","aufwand","fs"
"386","","Ausserordentlicher Transferaufwand","Charges de transfert extraordinaires","Spese di riversamento straordinarie","Extraordinary transfer expenses","aufwand","fs"
"3860","","Ausserordentlicher Transferaufwand; Bund","Charges de transfert extraordinaires; Confédération","Spese di riversamento straordinarie; Confederazione","Extraordinary transfer expenses; Confederation","aufwand","fs"
"3861","","Ausserordentlicher Transferaufwand; Kantone und Konkordate","Charges de transfert extraordinaires; cantons et concordats","Spese di riversamento straordinarie; Cantoni e Concordati","Extraordinary transfer expenses; cantons and concordats","aufwand","fs"
"3862","","Ausserordentlicher Transferaufwand; Gemeinden und Gemeindezweckverbände","Charges de transfert extraordinaires; communes et syndicats intercommunaux","Spese di riversamento straordinarie; Comuni e consorzi comunali","Extraordinary transfer expenses; municipalities and special purpose entities","aufwand","fs"
"3863","","Ausserordentlicher Transferaufwand; öffentliche Sozialversicherungen","Charges de transfert extraordinaires; assurances sociales publiques","Spese di riversamento straordinarie; assicurazioni sociali pubbliche","Extraordinary transfer expenses; social security funds","aufwand","fs"
"3864","","Ausserordentlicher Transferaufwand; öffentliche Unternehmen","Charges de transfert extraordinaires; entreprises publiques","Spese di riversamento straordinarie; imprese pubbliche","Extraordinary transfer expenses; public corporations","aufwand","fs"
"3865","","Ausserordentlicher Transferaufwand; private Unternehmen","Charges de transfert extraordinaires; entreprises privées","Spese di riversamento straordinarie; imprese private","Extraordinary transfer expenses; private corporations","aufwand","fs"
"3866","","Ausserordentlicher Transferaufwand; private Organisationen ohne Erwerbszweck","Charges de transfert extraordinaires; organisations privées à but non lucratif","Spese di riversamentoe straordinarie; organizzazioni private senza scopo di lucro","Extraordinary transfer expenses; private non-profit organizations","aufwand","fs"
"3867","","Ausserordentlicher Transferaufwand; private Haushalte","Charges de transfert extraordinaires; ménages privés","Spese di riversamento straordinarie; economie domestiche private","Extraordinary transfer expenses; households","aufwand","fs"
"3868","","Ausserordentlicher Transferaufwand; Ausland","Charges de transfert extraordinaires; étranger","Spese di riversamento straordinarie; estero","Extraordinary transfer expenses; abroad","aufwand","fs"
"387","","Zusätzliche Abschreibungen auf Darlehen, Beteiligungen und Investitionsbeiträgen","Amortissement supplémentaire des prêts, participations et contribution à des investissements","Ammortamenti supplementari su mutui, partecipazioni e contributi agli investimenti","Additional depreciation on loans, financial interests, and investment contributions","aufwand","fs"
"389","","Einlagen in das Eigenkapital","Attributions au capital propre","Versamenti al capitale proprio","Net expenditure for net assets/equity","aufwand","fs"
