"arten","funk","d","f","i","e","dim","model"
"6226","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Ausland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, extérieur","Assicurazioni, pensioni e garanzie standard, estero","Insurance, pension, and standardized guarantee schemes","vermoegen","fs"
"6227","","Finanzderivate und Mitarbeiteraktienoptionen, Ausland","Produits financiers dérivés et options sur titres des salariés, extérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti, estero ","Financial derivatives and employee stock options","vermoegen","fs"
"6228","","Sonstige Forderungen, Ausland","Autres comptes à recevoir, extérieur","Altri conti attivi, estero","Other accounts receivable","vermoegen","fs"
"62281","","Handelskredite und Anzahlungen, Ausland","Crédits commerciaux et avances, extérieur","Crediti commerciali e anticipazioni, estero","Trade credit and advances","vermoegen","fs"
"62282","","Sonstige Forderungen, n.a.g., Ausland","Autres comptes à recevoir, n.c.a., extérieur","Altri conti attivi, n.m.a., estero","Miscellaneous other accounts receivable","vermoegen","fs"
"","","Verbindlichkeiten","Engagements","Passività","Liabilities","vermoegen","fs"
"630","","Verbindlichkeiten","Engagements ","Passività","Domestic & external","vermoegen","fs"
"6301","","Währungsgold und Sonderziehungsrechte","Or monétaire et DTS","Oro monetario e diritti speciali di prelievo","Monetary gold and Special Drawing Rights (SDRs)","vermoegen","fs"
"6302","","Bargeld und Einlagen ","Numéraire et dépôts ","Biglietti, monete e depositi","Currency and deposits","vermoegen","fs"
"6303","","Schuldtitel","Titres de créance","Titoli di debito","Debt securities","vermoegen","fs"
"6304","","Kredite","Crédits ","Prestiti","Loans","vermoegen","fs"
"6305","","Anteilsrechte und Anteile an Investmentfonds","Actions et parts de fonds d'investissement","Partecipazioni e quote di fondi di investimento","Equity and investment fund shares","vermoegen","fs"
"6306","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard","Assicurazioni, pensioni, garanzie standard","Insurance, pension, and standardized guarantee schemes","vermoegen","fs"
"6307","","Finanzderivate und Mitarbeiteraktienoptionen","Produits financiers dérivés et options sur titres des salariés","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","vermoegen","fs"
"6308","","Sonstige Verbindlichkeiten","Autres comptes à payer ","Altri conti passivi","Other accounts payable","vermoegen","fs"
"63081","","Handelskredite und Anzahlungen","Crédits commerciaux et avances","Crediti commerciali e anticipazioni","Trade credit and advances","vermoegen","fs"
"63082","","Sonstige Verbindlichkeiten, n.a.g.","Autres comptes à payer, n.c.a.","Altri conti passivi, n.m.a.","Miscellaneous other accounts payable","vermoegen","fs"
"631","","Verbindlichkeiten, Inland","Engagements, intérieur","Conti passivi, interno","Domestic","vermoegen","fs"
"6311","","Währungsgold und Sonderziehungsrechte, Inland","Or monétaire et DTS, intérieur","Oro monetario e diritti speciali di prelievo, interno","Monetary gold and Special Drawing Rights (SDRs)","vermoegen","fs"
"6312","","Bargeld und Einlagen, Inland","Numéraire et dépôts, intérieur","Biglietti, monete e depositi, interno","Currency and deposits","vermoegen","fs"
"6313","","Schuldtitel, Inland","Titres de créance, intérieur","Titoli di debito, interno","Debt securities","vermoegen","fs"
"6314","","Kredite, Inland","Crédits, intérieur","Prestiti, interno","Loans","vermoegen","fs"
"6315","","Anteilsrechte und Anteile an Investmentfonds, Inland","Actions et parts de fonds d'investissement, intérieur","Partecipazioni e quote di fondi di investimento, interno","Equity and investment fund shares","vermoegen","fs"
"6316","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Inland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, intérieur ","Assicurazioni, pensioni e garanzie standard, interno","Insurance, pension, and standardized guarantee schemes","vermoegen","fs"
"6317","","Finanzderivate und Mitarbeiteraktienoptionen, Inland","Produits financiers dérivés et options sur titres des salariés, intérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","vermoegen","fs"
"6318","","Sonstige Verbindlichkeiten, Inland","Autres comptes à payer, intérieur","Altri conti passivi, interno","Other accounts payable","vermoegen","fs"
"63181","","Handelskredite und Anzahlungen, Inland","Crédits commerciaux et avances, intérieur","Crediti commerciali e anticipazioni, interno","Trade credit and advances","vermoegen","fs"
"63182","","Sonstige Verbindlichkeiten, n.a.g., Inland","Autres comptes à payer, n.c.a., intérieur","Altri conti passivi, n.m.a., interno","Miscellaneous other accounts payable","vermoegen","fs"
"632","","Verbindlichkeiten, Ausland","Engagements, extérieur","Conti passivi, estero","External","vermoegen","fs"
"6321","","Währungsgold und Sonderziehungsrechte, Ausland","Or monétaire et DTS, extérieur","Oro monetario e diritti speciali di prelievo, estero","Monetary gold and Special Drawing Rights (SDRs)","vermoegen","fs"
"6322","","Bargeld und Einlagen, Ausland","Numéraire et dépôts, extérieur","Biglietti, monete e depositi, estero","Currency and deposits","vermoegen","fs"
"6323","","Schuldtitel, Ausland","Titres de créance, extérieur","Titoli di debito, estero","Debt securities","vermoegen","fs"
"6324","","Kredite, Ausland","Crédits, extérieur","Prestiti, estero","Loans","vermoegen","fs"
"6325","","Anteilsrechte und Anteile an Investmentfonds, Ausland","Actions et parts de fonds d'investissement, extérieur","Partecipazioni e quote di fondi di investimento, estero","Equity and investment fund shares","vermoegen","fs"
"6326","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Ausland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, extérieur ","Assicurazioni, pensioni e garanzie standard, estero","Insurance, pension, and standardized guarantee schemes","vermoegen","fs"
"6327","","Finanzderivate und Mitarbeiteraktienoptionen, Ausland","Produits financiers dérivés et options sur titres des salariés, extérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","vermoegen","fs"
"6328","","Sonstige Verbindlichkeiten, Ausland","Autres comptes à payer, extérieur","Altri conti passivi, estero","Other accounts payable","vermoegen","fs"
"63281","","Handelskredite und Anzahlungen, Ausland","Crédits commerciaux et avances, extérieur","Crediti commerciali e anticipazioni, estero","Trade credit and advances","vermoegen","fs"
"63282","","Sonstige Verbindlichkeiten, n.a.g., Ausland","Autres comptes à payer, n.c.a., extérieur","Altri conti passivi, n.m.a., estero","Miscellaneous other accounts payable","vermoegen","fs"
"69","","Reinvermögen","Patrimoine net","Patrimonio netto","Net worth","vermoegen","fs"
