"arten","funk","d","f","i","e","dim","model"
"5215","","Anteilsrechte und Anteile an Investmentfonds, Inland","Actions et parts de fonds d'investissement, intérieur","Partecipazioni e quote di fondi di investimento, interno","Equity and investment fund shares","sws_volumen","gfs"
"5216","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Inland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, intérieur ","Assicurazioni, pensioni e garanzie standard, interno","Insurance, pension, and standardized guarantee schemes","sws_volumen","gfs"
"5217","","Finanzderivate und Mitarbeiteraktienoptionen, Inland","Produits financiers dérivés et options sur titres des salariés, intérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti, interno","Financial derivatives and employee stock options","sws_volumen","gfs"
"5218","","Sonstige Forderungen, Inland","Autres comptes à recevoir, intérieur","Altri conti attivi, interno","Other accounts receivable","sws_volumen","gfs"
"52181","","Handelskredite und Anzahlungen, Inland","Crédits commerciaux et avances, intérieur","Crediti commerciali e anticipazioni, interno","Trade credit and advances","sws_volumen","gfs"
"52182","","Sonstige Forderungen, n.a.g., Inland","Autres comptes à recevoir, n.c.a., intérieur","Altri conti attivi, n.m.a., interno","Miscellaneous other accounts receivable","sws_volumen","gfs"
"522","","Forderungen, Ausland","Créances, extérieur","Conti attivi, estero","External","sws_volumen","gfs"
"5221","","Währungsgold und Sonderziehungsrechte, Ausland","Or monétaire et DTS, extérieur","Oro monetario e diritti speciali di prelievo, estero","Monetary gold and Special Drawing Rights (SDRs)","sws_volumen","gfs"
"5222","","Bargeld und Einlagen, Ausland","Numéraire et dépôts, extérieur","Biglietti, monete e depositi, estero","Currency and deposits","sws_volumen","gfs"
"5223","","Schuldtitel, Ausland","Titres de créance, extérieur","Titoli di debito, estero","Debt securities","sws_volumen","gfs"
"5224","","Kredite, Ausland","Crédits, extérieur","Prestiti, estero","Loans","sws_volumen","gfs"
"5225","","Anteilsrechte und Anteile an Investmentfonds, Ausland","Actions et parts de fonds d'investissement, extérieur","Partecipazioni e quote di fondi di investimento, estero","Equity and investment fund shares","sws_volumen","gfs"
"5226","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Ausland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, extérieur","Assicurazioni, pensioni e garanzie standard, estero","Insurance, pension, and standardized guarantee schemes","sws_volumen","gfs"
"5227","","Finanzderivate und Mitarbeiteraktienoptionen, Ausland","Produits financiers dérivés et options sur titres des salariés, extérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti, estero ","Financial derivatives and employee stock options","sws_volumen","gfs"
"5228","","Sonstige Forderungen, Ausland","Autres comptes à recevoir, extérieur","Altri conti attivi, estero","Other accounts receivable","sws_volumen","gfs"
"52281","","Handelskredite und Anzahlungen, Ausland","Crédits commerciaux et avances, extérieur","Crediti commerciali e anticipazioni, estero","Trade credit and advances","sws_volumen","gfs"
"52282","","Sonstige Forderungen, n.a.g., Ausland","Autres comptes à recevoir, n.c.a., extérieur","Altri conti attivi, n.m.a., estero","Miscellaneous other accounts receivable","sws_volumen","gfs"
"","","Verbindlichkeiten","Engagements","Passività","Liabilities","sws_volumen","gfs"
"530","","Verbindlichkeiten","Engagements ","Passività","Domestic & external","sws_volumen","gfs"
"5301","","Währungsgold und Sonderziehungsrechte","Or monétaire et DTS","Oro monetario e diritti speciali di prelievo","Monetary gold and Special Drawing Rights (SDRs)","sws_volumen","gfs"
"5302","","Bargeld und Einlagen ","Numéraire et dépôts ","Biglietti, monete e depositi","Currency and deposits","sws_volumen","gfs"
"5303","","Schuldtitel","Titres de créance","Titoli di debito","Debt securities","sws_volumen","gfs"
"5304","","Kredite","Crédits ","Prestiti","Loans","sws_volumen","gfs"
"5305","","Anteilsrechte und Anteile an Investmentfonds","Actions et parts de fonds d'investissement","Partecipazioni e quote di fondi di investimento","Equity and investment fund shares","sws_volumen","gfs"
"5306","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard","Assicurazioni, pensioni, garanzie standard","Insurance, pension, and standardized guarantee schemes","sws_volumen","gfs"
"5307","","Finanzderivate und Mitarbeiteraktienoptionen","Produits financiers dérivés et options sur titres des salariés","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_volumen","gfs"
"5308","","Sonstige Verbindlichkeiten","Autres comptes à payer ","Altri conti passivi","Other accounts payable","sws_volumen","gfs"
"53081","","Handelskredite und Anzahlungen","Crédits commerciaux et avances","Crediti commerciali e anticipazioni","Trade credit and advances","sws_volumen","gfs"
"53082","","Sonstige Verbindlichkeiten, n.a.g.","Autres comptes à payer, n.c.a.","Altri conti passivi, n.m.a.","Miscellaneous other accounts payable","sws_volumen","gfs"
"531","","Verbindlichkeiten, Inland","Engagements, intérieur","Conti passivi, interno","Domestic","sws_volumen","gfs"
"5311","","Währungsgold und Sonderziehungsrechte, Inland","Or monétaire et DTS, intérieur","Oro monetario e diritti speciali di prelievo, interno","Monetary gold and Special Drawing Rights (SDRs)","sws_volumen","gfs"
"5312","","Bargeld und Einlagen, Inland","Numéraire et dépôts, intérieur","Biglietti, monete e depositi, interno","Currency and deposits","sws_volumen","gfs"
"5313","","Schuldtitel, Inland","Titres de créance, intérieur","Titoli di debito, interno","Debt securities","sws_volumen","gfs"
"5314","","Kredite, Inland","Crédits, intérieur","Prestiti, interno","Loans","sws_volumen","gfs"
"5315","","Anteilsrechte und Anteile an Investmentfonds, Inland","Actions et parts de fonds d'investissement, intérieur","Partecipazioni e quote di fondi di investimento, interno","Equity and investment fund shares","sws_volumen","gfs"
"5316","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Inland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, intérieur ","Assicurazioni, pensioni e garanzie standard, interno","Insurance, pension, and standardized guarantee schemes","sws_volumen","gfs"
"5317","","Finanzderivate und Mitarbeiteraktienoptionen, Inland","Produits financiers dérivés et options sur titres des salariés, intérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_volumen","gfs"
"5318","","Sonstige Verbindlichkeiten, Inland","Autres comptes à payer, intérieur","Altri conti passivi, interno","Other accounts payable","sws_volumen","gfs"
"53181","","Handelskredite und Anzahlungen, Inland","Crédits commerciaux et avances, intérieur","Crediti commerciali e anticipazioni, interno","Trade credit and advances","sws_volumen","gfs"
"53182","","Sonstige Verbindlichkeiten, n.a.g., Inland","Autres comptes à payer, n.c.a., intérieur","Altri conti passivi, n.m.a., interno","Miscellaneous other accounts payable","sws_volumen","gfs"
"532","","Verbindlichkeiten, Ausland","Engagements, extérieur","Conti passivi, estero","External","sws_volumen","gfs"
"5321","","Währungsgold und Sonderziehungsrechte, Ausland","Or monétaire et DTS, extérieur","Oro monetario e diritti speciali di prelievo, estero","Monetary gold and Special Drawing Rights (SDRs)","sws_volumen","gfs"
"5322","","Bargeld und Einlagen, Ausland","Numéraire et dépôts, extérieur","Biglietti, monete e depositi, estero","Currency and deposits","sws_volumen","gfs"
"5323","","Schuldtitel, Ausland","Titres de créance, extérieur","Titoli di debito, estero","Debt securities","sws_volumen","gfs"
"5324","","Kredite, Ausland","Crédits, extérieur","Prestiti, estero","Loans","sws_volumen","gfs"
"5325","","Anteilsrechte und Anteile an Investmentfonds, Ausland","Actions et parts de fonds d'investissement, extérieur","Partecipazioni e quote di fondi di investimento, estero","Equity and investment fund shares","sws_volumen","gfs"
"5326","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, Ausland","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard, extérieur ","Assicurazioni, pensioni e garanzie standard, estero","Insurance, pension, and standardized guarantee schemes","sws_volumen","gfs"
"5327","","Finanzderivate und Mitarbeiteraktienoptionen, Ausland","Produits financiers dérivés et options sur titres des salariés, extérieur","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_volumen","gfs"
"5328","","Sonstige Verbindlichkeiten, Ausland","Autres comptes à payer, extérieur","Altri conti passivi, estero","Other accounts payable","sws_volumen","gfs"
"53281","","Handelskredite und Anzahlungen, Ausland","Crédits commerciaux et avances, extérieur","Crediti commerciali e anticipazioni, estero","Trade credit and advances","sws_volumen","gfs"
"53282","","Sonstige Verbindlichkeiten, n.a.g., Ausland","Autres comptes à payer, n.c.a., extérieur","Altri conti passivi, n.m.a., estero","Miscellaneous other accounts payable","sws_volumen","gfs"
